Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"The Boy","The Smashing Pumpkins","Aeroplane Flies High (Deluxe Edition)","BW26","Playlist","USVI29601072","2Yw5jfEaQFHoUFhzXUGkgV"
"Walk Away","Sisters of Mercy","First and Last and Always","BW26","Playlist","GBAHS0104678","7o3wwWcDjjzY4T5YJdQ7Al"
"Ojitos Lindos","Bad Bunny","Un Verano Sin Ti","BW26","Playlist","QM6MZ2214888","3k3NWokhRRkEPhCzPmV8TW"
"Monkey Gone to Heaven","Pixies","Doolittle","BW26","Playlist","GBAFL9700103","6BT7qiDY4A5tOyklohjQuW"
"Money for Nothing","Dire Straits","Brothers in Arms","BW26","Playlist","GBF088500674","4yqtwO7MQIIXqoiRBPHAgR"
"Life On a Chain","Pete Yorn","musicforthemorningafter","BW26","Playlist","USSM10009569","0Vx453PGDgPnTCJuVMQXXY"
"That Is Why","Jellyfish","Bellybutton","BW26","Playlist","USVI29000009","7eilLreA3JyO5IkSEYQTBt"
"Rainbow in the Dark","Dio","Holy Diver","BW26","Playlist","USWB19903259","2PpNgmrS9mAyrkRAwn6YPq"
"You've Got My Number (Why Don't You Use It!)","The Undertones","You've Got My Number (Why Don't You Use It!)","BW26","Playlist","GBAJE7900069","2erZfK4jHjgPfYSRZNMoqj"
"Tear It All Away - 2002 Remastered","The Church","Hindsight 1980-1987","BW26","Playlist","AUEM00200040","4K2obiFa8R14tMFYbHxP7M"
"Constant In Opal - 2001 Digital Remaster","The Church","Sing-Songs // Remote Luxury // Persia","BW26","Playlist","AUEM00100078","29prelKKU9c4PDxNe4sQ4L"
"One Day - 2002 Digital Remaster","The Church","Seance","BW26","Playlist","AUEM00200056","0HEhO8dMu5VndVhGmc9dNu"
"Till I Collapse","Eminem","The Eminem Show","BW26","Playlist","USIR10211066","4xkOaSrkexMciUUogZKVTS"
"Save It for Later - 2012 Remaster","The English Beat","Special Beat Service (Expanded) [2012 Remaster]","BW26","Playlist","USRH12303061","7jQD3oqlzWzs2ZwKoeTvVX"
"She's Electric - Remastered","Oasis","(What's The Story) Morning Glory? (Deluxe Remastered Edition)","BW26","Playlist","GBQCP1400115","60QLLec3yKDwloXCyummPy"
"I Want You Back - Remaster 2005","Hoodoo Gurus","Stoneage Romeos","BW26","Playlist","AUHD00500002","7gMETwfAij1yUKdWjx7Pon"
"Hereafter (Way After)","Silversun Pickups","Physical Thrills","BW26","Playlist","QM3UF2200003","5ZfHurrVjbHI9ZrtfgzK5x"
"Lonely Ol' Night","John Mellencamp","Scarecrow","BW26","Playlist","USJM18500004","0TBMx8wWJkwSEVSOJUn21e"
"Under Cover of Darkness","The Strokes","Angles","BW26","Playlist","USRC11100031","6u0x5ad9ewHvs3z6u9Oe3c"
"Resurrection Joe","The Cult","Resurrection Joe","BW26","Playlist","GBAZP8400031","5En30JdLDDNbatT0hOfBQs"
"Comfortably Numb - Live from the Luck and Strange Concerts","David Gilmour","The Luck and Strange Concerts","BW26","Playlist","GBLTP2500023","3c4qTWBG92uSqz8oCftVGl"
"Invisible Sun","Liam Gallagher","Why Me? Why Not. (Deluxe Edition)","BW26","Playlist","GBAHT1900611","5Q7NEt1PcVuTBBMz8XmrNZ"
"Something About You","Level 42","World Machine","BW26","Playlist","GBAKW8901001","77NwdlKUIMS3gvvJeO5KK1"
"Welcome To The Jungle","Guns N' Roses","Appetite For Destruction","BW26","Playlist","USGF18714801","0G21yYKMZoHa30cYVi1iA8"
"Wherever I May Roam (Remastered)","Metallica","Metallica (Remastered)","BW26","Playlist","QMKHM1900005","745sNpjWbAxo2MA2zSYbyD"
"Run To You","Bryan Adams","Reckless (30th Anniversary / Deluxe Edition)","BW26","Playlist","USAM18490003","2RWFncSWZEhSRRifqiDNVV"
"3AM","Matchbox Twenty","Yourself or Someone Like You","BW26","Playlist","USAT29600038","5vYA1mW9g2Coh1HUFUSmlb"
"Build And Destroy","Styx","Build And Destroy","BW26","Playlist","USUG12502074","37lctHJGpnrzHPluCe48S8"
"DEMOLITION MAN","Boko Yout","GUSTO","BW26","Playlist","QMBZ92532891","4jgt5xF9YT7hIKyQ0QGkZA"
"We Walk - Live/Remastered","R.E.M.","Complete Rarities - I.R.S. 1982-1987","BW26","Playlist","USCA20600806","78LTHqdNyj0Rz7aCy6IhPz"
"Street Fighting Man - 50th Anniversary Edition","The Rolling Stones","Beggars Banquet (50th Anniversary Edition)","BW26","Playlist","USA171810015","7EXgO1bRnEArE58rtrgMWB"
"No Excuses","Alice In Chains","Jar Of Flies","BW26","Playlist","USSM19303748","4PtZE0h5oyPhCtPjg3NeYQ"
"Baby Talks Dirty","The Knack","But The Little Girls Understand","BW26","Playlist","USCA20200214","1v64SrT0QJlpbrepnZOHPz"
"Highway Star","Deep Purple","Machine Head","BW26","Playlist","USWB19901165","4gVTozEmzwAUXpwj3jEetX"
"Freak Scene","Dinosaur Jr.","Bug","BW26","Playlist","USMRG0566023","7FIhuHZUdUxWX2hDMGdIbF"
"In The City","The Jam","In The City","BW26","Playlist","GBAKW7701001","250dZY8xYbhHGQpM6bgL52"
