Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Changing","The Moondoggies","Don't Be a Stranger","BW26","Playlist","USHF30800405","7uuiEAFGs0wHQKr7bdseNH"
"Norm","Tarantula Bill","Norm","BW26","Playlist","QZPLR2653004","6lv3hkWzVu8e6ZwyX0FTgz"
"Gimme Three Steps","Lynyrd Skynyrd","Pronounced' Leh-'Nerd 'Skin-'Nerd","BW26","Playlist","USMC17301721","0x2wtJbtJrox3SDmnMj97x"
"就在星期五","Mary Bites Kerry","展望未來","BW26","Playlist","TWP011736403","7KsVfP6wf869ZbhXtD9Rkp"
"I Don't Want You Anyway","Superchunk","I Don't Want You Anyway","BW26","Playlist","USMRG2587602","7K01DgaD56wCLYF74SWi4L"
"Bad Girlfriend","Theory of a Deadman","Scars & Souvenirs (Special Edition)","BW26","Playlist","NLA320786463","5m7on0zpnmeAXy72ANrmfU"
"Ugly","The Exies","Head For The Door","BW26","Playlist","USVI20400387","1NoE1pEKbjVDmwLvrMsoop"
"Cut You In","Jerry Cantrell","Boggy Depot","BW26","Playlist","USSM19703272","0ecuZefr04QYl0cGpT53Nz"
"Bound For The Floor","Local H","As Good As Dead","BW26","Playlist","USIR29600091","3cbTV3IZZvSBYVcl0xuZbY"
"Saint Joe On The School Bus","Marcy Playground","Marcy Playground","BW26","Playlist","USEM39600081","1LC2Hcgf2RgEbxPHNTnzaC"
"Simple Lessons","Candlebox","Lucy","BW26","Playlist","USMV20100140","14d6OQbMDNM7jO3haT3kL0"
"10,000 Horses","Candlebox","Happy Pills","BW26","Playlist","USMV29800041","2tzeFz8J7AFzSCpxaCrJat"
"Wicked Garden - 2017 Remaster","Stone Temple Pilots","Core (Super Deluxe Edition)","BW26","Playlist","USAT21701890","7FblcKgEyo6zZjSMAnYpOX"
"Blow Up The Outside World","Soundgarden","Down On The Upside","BW26","Playlist","USAM19602231","5TLA7O0ogTqwZHbS3ERabw"
"Shelf In The Room","Days Of The New","Days Of The New","BW26","Playlist","USOU19700401","5UNoPMX7K2W769iQ4PDfOt"
"Personal Jesus","Def Leppard","Personal Jesus","BW26","Playlist","USMVB1800090","6rzn7K6369rzpzsFk2Xfsd"
"To Space","Kings of Leon","EP #2","BW26","Playlist","USA2P2553839","356x2OD1llA9NfOMXVmGSk"
"Losing My Religion - Live At The Point Depot, Dublin, Ireland / February, 2005","R.E.M.","R.E.M. Live","BW26","Playlist","USWB10703649","0svaiEE8lMG6Q3PjMWdxLq"
"Cherry Bomb","John Mellencamp","The Lonesome Jubilee","BW26","Playlist","USJM18700002","43oPpqzWPSZmeiwYicmzjG"
"Hurts So Good","John Mellencamp","American Fool","BW26","Playlist","USJM18200002","67eX1ovaHyVPUinMHeUtIM"
"Hollywood Nights","Bob Seger","Stranger In Town","BW26","Playlist","USCA28600268","5VbePtZp1at8gH990zVyTI"
"True Faith","New Order","Substance","BW26","Playlist","GBAAP0001118","4fpxnJGDWFxjGvLJOqPPt8"
"More Than This","Roxy Music","Roxy Music Collection","BW26","Playlist","GBAAA8200076","6SsP9PE7JT83QZA8kEYHVV"
"Shout","Tears For Fears","Songs From The Big Chair (Super Deluxe Edition)","BW26","Playlist","GBF088490125","11leihwcsTVOTo1gxpgYNG"
"Bad Moon Rising","Creedence Clearwater Revival","Green River (Expanded Edition)","BW26","Playlist","USC4R0817604","20OFwXhEXf12DzwXmaV7fj"
"All Right Now","Free","Fire And Water","BW26","Playlist","GBAAN7000001","1gcESexgftSuLuML57Y69q"
"Bang a Gong (Get It On) - 2003 Remaster","T. Rex","Electric Warrior [Expanded & Remastered]","BW26","Playlist","USRE10300007","6FsQrRpBLgsrFeAeiQqytm"
"Take It Easy - 2013 Remaster","Eagles","Eagles (2013 Remaster)","BW26","Playlist","USEE11300314","4yugZvBYaoREkJKtbG08Qr"
"Rock 'n' Roll (Part 2)","Gary Glitter","Glitter","BW26","Playlist","GBCQV7500002","5F40csF5DtKOGfEg8vuz1d"
"Jumpin' Jack Flash - Mono Version","The Rolling Stones","Through The Past, Darkly (Big Hits Vol. 2) [UK Version]","BW26","Playlist","USA176810110","1gqTXnc7WXBI9AwcCiqcJ1"
"Fly Away","Lenny Kravitz","5","BW26","Playlist","USVI29800169","1OxcIUqVmVYxT6427tbhDW"
"Paralyzed","Lenny Kravitz","Blue Electric Light","BW26","Playlist","DELV42300472","3q44HY8PBUSUVFuy8Uboxh"
"Invisible Sun","The Police","Ghost In The Machine (Remastered 2003)","BW26","Playlist","GBAAM0201128","5u8Dwz4h41DDOKfeFfexMR"
"Dream Attack - 2015 Remaster","New Order","Technique","BW26","Playlist","GBAAP1500412","255YBFFiVe4ldKi15PYGDv"
"Thieves like Us","New Order","The Best of New Order","BW26","Playlist","GBANP9400064","0kQTkXqjtWSPCM2D14cGq3"
"This Time - Studio Demo","INXS","Listen Like Thieves (40th Anniversary Deluxe Edition)","BW26","Playlist","USUG12407405","5eYRFnz8Gbo7MMniCQfaUi"
"One X One","INXS","Listen Like Thieves","BW26","Playlist","USAT28600026","7MNRqcvpme55iJG9kfgV8O"
"Soma","The Strokes","Is This It","BW26","Playlist","USRC10100771","6gU7ohksNd6LsEJMWfDRhp"
"Wait for Me","Kings of Leon","Mechanical Bull (Expanded Edition)","BW26","Playlist","USRC11300789","2nO1DYEg1X5GHi8SSuNJQj"
"Ain't Wastin' Time No More","Allman Brothers Band","Eat A Peach","BW26","Playlist","USPG19190007","4euYSSvpQZSAQ4gThyL2QD"
"I'll Wait - 2015 Remaster","Van Halen","1984 (Remastered)","BW26","Playlist","USWB11403685","2TIKWWCf6qAtVP6AGa7e9k"
"Rusholme Ruffians - 2011 Remaster","The Smiths","Meat Is Murder","BW26","Playlist","GBCRL1100038","6rZ4Q8YW88xCERDq0AEbmt"
"Just like Heaven","The Cure","Kiss Me, Kiss Me, Kiss Me","BW26","Playlist","USEE18700009","76GlO5H5RT6g7y0gev86Nk"
"Little Guitars - 2015 Remaster","Van Halen","Diver Down (Remastered)","BW26","Playlist","USWB11500524","18fIsTimWvKXA2whjHYON3"
"Drown","The Smashing Pumpkins","(Rotten Apples) The Smashing Pumpkins Greatest Hits","BW26","Playlist","USSM19200933","3eMYc6FK9XvyauIaxcJtRS"
"Nutshell","Alice In Chains","Jar Of Flies","BW26","Playlist","USSM10025671","2JuasWPUodaUxf5nwNpciQ"
"Zero - Remastered 2012","The Smashing Pumpkins","Mellon Collie And The Infinite Sadness (Deluxe Edition)","BW26","Playlist","USVI21200895","4YFcGTdgmEuw8xTO4XrxbB"
"Burden In My Hand","Soundgarden","Down On The Upside","BW26","Playlist","USAM19602232","1iArQTuOzxvrtniGmkyy92"
"Perfect","The Smashing Pumpkins","Adore (2014 Remaster)","BW26","Playlist","USVI29800015","0GvC9hj6rWx7O1jinbhjty"
"Canada","The Guest List","Canada","BW26","Playlist","GX8QN2200002","0n0llohENPn55yP4RztnG5"
"Never You Done That","General Public","All The Rage","BW26","Playlist","USSE91232760","1TAAAbxtkJuq8SK4HyQdtJ"
"Free Bird","Lynyrd Skynyrd","Pronounced' Leh-'Nerd 'Skin-'Nerd","BW26","Playlist","USMC17301722","5EWPGh7jbTNO2wakv8LjUI"
"Fly By Night","Rush","Fly By Night","BW26","Playlist","USWWW0201912","54TaGh2JKs1pO9daXNXI5q"
"Houses of the Holy - Remaster","Led Zeppelin","Physical Graffiti (Remaster)","BW26","Playlist","USAT21300967","0gJmT4VMZd6iYDvqfOou0A"
"Ocean Size - 2006 Remaster","Jane's Addiction","Up from the Catacombs: The Best of Jane's Addiction","BW26","Playlist","USWB10503972","7gp0e8WPmC1xw9Juz1SSOc"
"Trampled Under Foot - Remaster","Led Zeppelin","Physical Graffiti (Remaster)","BW26","Playlist","USAT21300968","7Dmtj0kicT7AMR9TSmUASf"
"Born On The Bayou","Creedence Clearwater Revival","Bayou Country (Expanded Edition)","BW26","Playlist","USC4R0817589","587bVBCHYW5Q2VNRLig4AS"
"Take the Highway","The Marshall Tucker Band","The Marshall Tucker Band","BW26","Playlist","USSE90320362","64PgbvQuUk8ZZc61chQ1fD"
"Feelin' Blue","Creedence Clearwater Revival","Willy And The Poor Boys (Expanded Edition)","BW26","Playlist","USC4R0817617","4YDIm7KU50tf4lXVC4EBzc"
"You Got to Lose","The Black Keys","You Got to Lose","BW26","Playlist","USWB12504972","5YrYpEPqwBymz2VgbIYGik"
"Song Of The Future","U2","Days Of Ash EP","BW26","Playlist","GBUM72600826","3xbZa70HOBQpGQcaR3HqW1"
"Shapes of Things","Jeff Beck","Beck's Blues","BW26","Playlist","GBAWA0515438","31G2l6Ou0yh1HdcfqlokaM"
"Sunshine Of Your Love","Cream","Disraeli Gears (Deluxe Edition)","BW26","Playlist","GBA076700020","2K2M0TcglCRLLpFOzKeFZA"
"Reflection","TOOL","Lateralus","BW26","Playlist","USVR10100019","0R7HFX1LW3E0ZR5BnAJLHz"
"Wanting and Waiting","The Black Crowes","Wanting and Waiting","BW26","Playlist","USME32300503","2tshfSpT1vLHlMZ88btPOj"
"Your Favorite Toy","Foo Fighters","Your Favorite Toy","BW26","Playlist","USRW32600004","2ZSOU8Fx9uRBW57nwfPVAL"
"Dirty Laundry","Don Henley","I Can’t Stand Still","BW26","Playlist","USWB12304354","1deZHQ9Na7bnWA9pulmlXD"
"Carry on Wayward Son","Kansas","The Essential Kansas","BW26","Playlist","USSM17600874","2SUpC3UgKwLVOS2FtZif9N"
"Paranoid - 2012 - Remaster","Black Sabbath","Paranoid (Remaster)","BW26","Playlist","USWB11304628","1Y373MqadDRtclJNdnUXVc"
"Sweet Emotion","Aerosmith","Toys In The Attic","BW26","Playlist","USSM19906482","73TxYZd0lBCVRrHawrAglA"
"Just Can't Get Enough","Depeche Mode","Speak and Spell (Deluxe)","BW26","Playlist","GBAJH0600205","0qi4b1l0eT3jpzeNHeFXDT"
"Word Up","Cameo","Word Up","BW26","Playlist","USPR39402457","7LoGfKBAaOl0nxhodJ1240"
"Close to Me - 2006 Remaster","The Cure","The Head on the Door","BW26","Playlist","USEE10608884","7ABE6G4uQxbNtYgVrpBBPA"
"Love Will Tear Us Apart - 2020 Remaster","Joy Division","Love Will Tear Us Apart","BW26","Playlist","GBAHT2000137","34iOH7LY3vme5rQxsVILZ4"
"Panic - 2011 Remaster","The Smiths","Louder Than Bombs","BW26","Playlist","GBCRL1100073","64D3dzWyj0GpQT1AHx4kbK"
"Spread Your Love","Black Rebel Motorcycle Club","B.R.M.C.","BW26","Playlist","USVI20000601","1gq5tbU9FTm90duAZtDZUv"
"Lazy Eye","Silversun Pickups","Carnavas","BW26","Playlist","US3R20600207","3l24Vnw1YbWv8UEKaZLjCE"
"The Underdog","Spoon","Ga Ga Ga Ga Ga (2017 Remaster)","BW26","Playlist","USMRG1759507","7cDbqFvw45zdLHGltdb1g9"
"Lump","The Presidents Of The United States Of America","The Presidents of The United States of America: Ten Year Super Bonus Special Anniversary Edition","BW26","Playlist","US35G0400023","2chzksqvbwwuRBwNB2pslH"
"What’s The Frequency, Kenneth? - Remastered 2013","R.E.M.","Monster (Remastered)","BW26","Playlist","USC4R1901433","2ElyyOi86SHyMKcUrv2f8e"
"I Feel You","Depeche Mode","Songs of Faith and Devotion (Deluxe)","BW26","Playlist","GBAJH0601241","2M0SsKN720GGXcCqhB96LX"
"Hand in Glove - 2011 Remaster","The Smiths","Hatful of Hollow","BW26","Playlist","GBCRL1100069","0Due7jDdu0EAWHUEw12H2p"
"Reel Around the Fountain - John Peel Session 18/05/83","The Smiths","Hatful of Hollow","BW26","Playlist","GBCAD1000143","2AUmcdyrTV9uZmvJ752jQd"
"Can't Stand Losing You","The Police","Outlandos D'Amour (Remastered 2003)","BW26","Playlist","GBAAM0201089","6DjKJgwe9c90Bd2iya0fre"
"Fall On Me - Live","R.E.M.","Automatic For The People (25th Anniversary Edition)","BW26","Playlist","USC4R1700257","4NsTyqJkQs46AM88R8Sf84"
"Touch Me I'm Sick","Mudhoney","Superfuzz Bigmuff (Deluxe Edition)","BW26","Playlist","USSUB0877301","2x5FYXo5rL4Phmn3UPdkK3"
"China Grove","The Doobie Brothers","The Captain and Me","BW26","Playlist","USWB19900750","7cy1bEJV6FCtDaYpsk8aG6"
"Minute by Minute","The Doobie Brothers","Minute by Minute","BW26","Playlist","USWB10902442","37oLDb3119IdKSIFQmSGRj"
"Joker And The Thief","Wolfmother","Wolfmother","BW26","Playlist","AUUM70500115","7ISL3LO8AWP3fKIXunvqTa"
"Revolve","Melvins","Stoner Witch","BW26","Playlist","USAT20103350","09hctAvAEUpm7MKl1RBK2j"
"YYZ","Rush","Moving Pictures (2011 Remaster)","BW26","Playlist","USMR18180105","3lpDrxUkr0tIe1kmJvdK7d"
"This Town","Green River","Dry as a Bone/Rehab Doll","BW26","Playlist","USSUB0701101","6bmlymaMLlpfcyWNjn4vRE"
"Brain Damage","Pink Floyd","The Dark Side of the Moon","BW26","Playlist","GBN9Y1100140","05uGBKRCuePsf43Hfm0JwX"
"Dreams Never End - 2015 Remaster","New Order","Movement","BW26","Playlist","GBAAP1500371","32TKQVwtSGCHIqmbmaNdFj"
"Tropic Morning News","The National","First Two Pages of Frankenstein","BW26","Playlist","GBAFL2200335","6oYXnC1pi6S8GJF32jvdmx"
"Wanted Man","Ratt","The Essentials: Ratt","BW26","Playlist","USAT29900561","7si505L0BOMwJ8A806S1Kw"
"Reelin' In The Years","Steely Dan","Can't Buy A Thrill","BW26","Playlist","USMC17347184","1x1XQqhBViz4opcpwc7FVs"
"Peace Frog","The Doors","Morrison Hotel","BW26","Playlist","USEE19900378","5piJiL6aRhvrKBa9YuEfS9"
"Southbound","Allman Brothers Band","Brothers And Sisters (Deluxe Edition)","BW26","Playlist","USA027300050","2CgYegR1bxSUqANxXwss9g"
"(Ain't Nothin' but A) House Party","The J. Geils Band","Bloodshot","BW26","Playlist","USAT20001379","5mZ64Frr4QjMOkg3XtLlS8"
"Bleed The Freak","Alice In Chains","Facelift","BW26","Playlist","USSM10026480","60l2m3BD5VY0HSc3xmSpPI"
"Go Down","AC/DC","Let There Be Rock","BW26","Playlist","AUAP07700005","7A944u5mXbkCz0I5BdLckI"
"Lady Picture Show","Stone Temple Pilots","Tiny Music...Songs from the Vatican Gift Shop","BW26","Playlist","USAT29600109","6y1I8cGzw6KWy2zPA572Jq"
"Who Made Who","AC/DC","Who Made Who","BW26","Playlist","AUAP08600001","6rvldt6EoZwzogApECUCwd"
"Still the One","Orleans","Waking & Dreaming","BW26","Playlist","USEE10250656","2dtK02TSAuTvVYU2wGAVG0"
"American Idiot","Green Day","American Idiot","BW26","Playlist","USRE10400888","6nTiIhLmQ3FWhvrGafw2zj"
"Old Yellow Bricks","Arctic Monkeys","Favourite Worst Nightmare (Standard Version)","BW26","Playlist","GBCEL0700073","3BcQFPRZuuUClWStz29WjN"
"Helter Skelter - Remastered 2009","The Beatles","The Beatles (Remastered)","BW26","Playlist","GBAYE0601666","0Bs0hUYxz7REyIHH7tRhL2"
"Nirvana","The Cult","Love","BW26","Playlist","GBAZP9700068","1Ykxsic1V3kvfTg9y6ypbr"
"Disposable Heroes (Remastered)","Metallica","Master of Puppets (Remastered Deluxe Box Set)","BW26","Playlist","QMKHM1600222","2a2le1M7cmvdrg1QHH7H53"
"Just For You - 2002 Digital Remaster","The Church","The Blurred Crusade","BW26","Playlist","AUEM00200048","25MyPE0hQqRHa2y6NpTuek"
"Give Up The Funk (Tear The Roof Off The Sucker)","Parliament","Mothership Connection","BW26","Playlist","USPR37800052","4XRkQloZFcRrCONN7ZQ49Y"
"Sugarcane","New Order","Lost Sirens","BW26","Playlist","GBCRL1100372","6Wc5Igd6TP8J6NaCWs0Ubf"
"Living Well Is The Best Revenge","R.E.M.","Accelerate","BW26","Playlist","USWB10705617","0wjfUZsUl6MW8qbcwSyBaD"
"Karn Evil 9 1st Impression, Pt. 2 (2014 - Remaster)","Emerson, Lake & Palmer","Brain Salad Surgery","BW26","Playlist","GBARL1400061","6WfjV745TiUcD8KdUKp241"
"Between Something and Nothing","The Ocean Blue","The Ocean Blue","BW26","Playlist","USRE10100001","1Nm7gI6fbdeUMWSA1YSpEk"
"I Need A Lover","John Mellencamp","John Cougar","BW26","Playlist","USJM17900001","2cdwkBvcf927tAUvCR2ggy"
"Times Of Trouble","Temple Of The Dog","Temple Of The Dog","BW26","Playlist","USAM10000349","4m1BHxinyAOrymQFKqTsr6"
"Bad - Remastered 2009","U2","The Unforgettable Fire (Remastered)","BW26","Playlist","GBUM70817515","6TQ7XVKcCQcfCEmv0QYYV8"
"When You Were Mine - 2002 Remastered","The Church","The Blurred Crusade","BW26","Playlist","AUEM00200044","3aVlzlVWmhYEog0L27aWap"
"Question","The Moody Blues","A Question Of Balance","BW26","Playlist","GBA177000020","4Q27I5G3W14hnYVi45oi2h"
"Slither","Velvet Revolver","Contraband","BW26","Playlist","USRC10400063","7kF1iPJTj3VFJX9XokQ80F"
"Just What I Needed","The Cars","The Cars","BW26","Playlist","USEE17500009","4alHo6RGd0D3OUbTPExTHN"
"Green Earrings - 2025 Remaster","Steely Dan","The Royal Scam (2025 Remaster)","BW26","Playlist","USMC17547223","4HtGCkV63YB0vTJ8Eso7xq"
"Jeopardy","The Greg Kihn Band","Kihnspiracy","BW26","Playlist","QMFME1498698","1LJr4mVQgg0Y6qZlJh80ST"
"Married With Children","Oasis","Definitely Maybe","BW26","Playlist","GBAAW9400147","0oemhAQXaaIHCEARF9JFGg"
"Hold Me, Thrill Me, Kiss Me, Kill Me - From 'Batman Forever'","U2","The Best Of 1990-2000","BW26","Playlist","GBAAN0201228","5TsHqbDKaSs4ECZX0045YS"
"The Saints Are Coming","U2","U218 Singles","BW26","Playlist","GBUM70604745","6uQL0epVs9N9Bergafaf6x"
"Sedan Delivery - Live; 2016 Remaster","Neil Young","Live Rust","BW26","Playlist","USRE11600835","4QEGY6wW9sLFQKA45hHBM2"
"Synchronicity II","The Police","Synchronicity (Remastered 2003)","BW26","Playlist","GBAAM0201109","5ynO8cYFjDwELIZfFHHeYe"
"Alice","Sisters of Mercy","Some Girls Wander by Mistake","BW26","Playlist","GBAHS0200092","4PbxSwW7CxxYIFINPjuTnd"
"Reward","The Teardrop Explodes","Kilimanjaro","BW26","Playlist","GBF088000023","2vULfNEAOjjRyjj6hs0kBm"
"Behind The Wall Of Sleep","The Smithereens","Especially For You","BW26","Playlist","USCA28600128","4T5Rcn6qefZOUMgDb8AkEt"
"Don't Cha Stop","The Cars","The Cars","BW26","Playlist","USEE10170471","6Lyicg1iVi8G984O3LcNQf"
"Jeepster - 2003 Remaster","T. Rex","Electric Warrior [Expanded & Remastered]","BW26","Playlist","USRE10300004","0v1wsyUb3UplLdgcdTbUEd"
"Civil War","Guns N' Roses","Use Your Illusion II","BW26","Playlist","USGF19142001","6i4Qi1mJxXjqNIL9HfJhRs"
"Saving Grace","Tom Petty","Highway Companion","BW26","Playlist","USWB10603019","7tSt526i6jm3zmhUfbXZHX"
"Mean Street - 2015 Remaster","Van Halen","Fair Warning (Remastered)","BW26","Playlist","USWB11500779","1eGSgC6ZhJ8D4nrZZ83LyA"
"Show Me How to Live","Audioslave","Audioslave","BW26","Playlist","USSM10211589","1Qdnvn4XlmZANCVy3XjrQo"
"We Got The Whip","Audioslave","Cochise","BW26","Playlist","USSM10215000","79dhcteL7MrY8SfJvwKxzu"
"Black Hole Sun","Soundgarden","Superunknown (Deluxe Edition)","BW26","Playlist","USAM19400007","2EoOZnxNgtmZaD8uUmz2nD"
"Interrobang","Silversun Pickups","Tenterhooks","BW26","Playlist","QM3UF2500009","6hKwyjgslpKEKA7lZ8LJiY"
"I Can See For Miles - Mono Version","The Who","The Who Sell Out (Super Deluxe)","BW26","Playlist","GBUM70818900","7B9F9nLxe7MZgZ68Jj86Fn"
"Lovesong - 2010 Remaster","The Cure","Disintegration (Deluxe Edition)","BW26","Playlist","USEE10901455","0X5C4WjQNubRysTkHOubz3"
"Rip It Up","Orange Juice","Rip It Up","BW26","Playlist","GBCEL1000577","7y4CtoXHFbs8VgcqbaYb9P"
"It Don't Come Easy","The Smithereens","Covers","BW26","Playlist","USBT21611820","4YhwwHbO9mDx3OUYc8Dkuq"
"Marquee Moon","Television","Marquee Moon","BW26","Playlist","USEE10181884","7Me0vOSlJfaPY7Pc4GeItd"
"Naveed","Our Lady Peace","Naveed","BW26","Playlist","CAE249400033","75UvFUebxOBj5Fl5euUqQA"
"Murder By Numbers","The Police","Synchronicity (Remastered 2003)","BW26","Playlist","GBAAM0201114","2CFafx1QnpbK4CQVOhzxkT"
"Even Flow","Pearl Jam","Ten","BW26","Playlist","USSM19100673","6QewNVIDKdSl8Y3ycuHIei"
"Outshined - Remastered 2016","Soundgarden","Badmotorfinger (25th Anniversary Remaster)","BW26","Playlist","USAM19104304","4VwPsMcRt1HPVKIdcwY9Uj"
"Superunknown","Soundgarden","Superunknown (20th Anniversary)","BW26","Playlist","USAM19400005","7GwrtGLmY02SKSil0kH0rH"
"By Crooked Steps","Soundgarden","King Animal (Deluxe Version)","BW26","Playlist","USUG11201137","0g63pVqj263CMsnm7H6BtN"
"Flower","Soundgarden","Ultramega OK (Expanded Reissue)","BW26","Playlist","USSUB1617201","3tlwwCJNVuvvnQNdP7XkRF"
"Hands All Over","Soundgarden","Chris Cornell (Deluxe Edition)","BW26","Playlist","USAM18900502","76JLGXdo2m5TGXgs02bgyR"
"Hands All Over","Soundgarden","Louder Than Love","BW26","Playlist","USAM18900502","1P4NeCeT76MGWkgVV8uRxP"
"American Girl","Tom Petty and the Heartbreakers","Greatest Hits","BW26","Playlist","USUG10400001","6SIV02mskzzc3KXK7t4NHj"
"Listen To Her Heart","Tom Petty and the Heartbreakers","You're Gonna Get It!","BW26","Playlist","USMC17841690","1cfnrxKDTz0kcKVL5EclFG"
"Legs (2008 Remaster)","ZZ Top","Eliminator","BW26","Playlist","USWB10702822","11oBg7EA3BgPLWrIx4Rv7D"
"Train in Vain (Stand by Me) - Remastered","The Clash","London Calling (Remastered)","BW26","Playlist","GBARL1200698","6ITuEsxEy2qPhqMowdDAeI"
