Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0eDQj41kzBhMKQIkTt6OJR,"A Certain Romance","Whatever People Say I Am That's What I'm Not","Arctic Monkeys",2006-01-29,331200,67,false,rwinj,2024-10-27T04:38:16Z,"indie,garage rock","Domino Recording Co",0.455,0.881,11,-5.587,1,0.0401,0.000566,0.0000606,0.11,0.201,137.949,4
spotify:track:3UjH6apk0ogZeIqhHbjrRU,"Trans-Europe Express - 2009 Remaster","Trans-Europe Express (2009 Remaster)","Kraftwerk",1977,397373,42,false,rwinj,2024-10-27T04:38:53Z,"krautrock,neue deutsche welle,synthpop,electronic,new wave,electro","Parlophone UK",0.878,0.611,1,-12.221,1,0.118,0.0559,0.838,0.0527,0.718,107.65,4
spotify:track:0jVo3e34A15l6MNu1O3cfa,"Red Right Hand","Let Love In (2011 Remaster)","Nick Cave & The Bad Seeds",1994-04-18,370573,66,false,rwinj,2024-10-27T04:40:08Z,"","Mute, a BMG Company",0.735,0.403,4,-11.599,0,0.037,0.139,0.473,0.107,0.453,115.658,4
spotify:track:72W93VrqRaDiyn3FushDXO,"Yuri-G","Rid Of Me","PJ Harvey",1993-01-01,208226,34,false,rwinj,2024-10-27T04:40:48Z,"art pop,singer-songwriter","Universal-Island Records Ltd.",0.55,0.487,6,-17.308,1,0.0538,0.00179,0.422,0.0558,0.949,141.844,4
spotify:track:1n9lGvOA1TKBvwVQ4tpB2o,"Pulled Up - 2005 Remaster","Talking Heads '77 (Deluxe Version)","Talking Heads",1977-09-16,271346,42,false,rwinj,2024-10-27T04:41:13Z,"new wave,post-punk","Rhino/Warner Records",0.687,0.755,4,-7.215,1,0.0422,0.118,0.0000136,0.231,0.972,139.857,4
spotify:track:0WQiDwKJclirSYG9v5tayI,"There Is a Light That Never Goes Out - 2011 Remaster","The Queen Is Dead","The Smiths",1986-06-16,244586,85,false,rwinj,2024-10-27T04:41:46Z,"new wave,madchester,jangle pop","WM UK",0.523,0.769,4,-5.855,1,0.0269,0.04,0,0.136,0.876,136.162,4
spotify:track:7qU7vhCPKhkDiJYGoboISc,"Apocalypse Dreams","Lonerism","Tame Impala",2012-01-01,356946,58,false,rwinj,2024-10-27T04:42:23Z,"neo-psychedelic,indie","Modular",0.496,0.929,8,-2.279,1,0.0503,0.249,0.131,0.0677,0.267,127.998,4
spotify:track:0jmKzJmUEKNbC7eU8YfOiA,"Mayonaise - 2011 Remaster","Siamese Dream (Deluxe Edition)","The Smashing Pumpkins",1993,348773,70,false,rwinj,2024-10-27T04:44:20Z,"alternative rock,rock","Virgin Records",0.482,0.528,10,-10.426,1,0.0272,0.000107,0.543,0.0839,0.0882,146.043,4
spotify:track:5tLbWNYxXdGRQQmW7LtWjg,"D.O.A. - 2015 Remaster","Van Halen II (Remastered)","Van Halen",1979-03-23,248866,50,false,rwinj,2024-10-27T04:46:13Z,"glam metal,classic rock,rock,hard rock","Rhino/Warner Records",0.404,0.969,8,-6.817,1,0.115,0.0126,0.0000163,0.179,0.199,140.07,4
spotify:track:2fuYa3Lx06QQJAm0MjztKr,"Let Down","OK Computer","Radiohead",1997-05-28,299560,89,false,rwinj,2024-10-27T04:47:25Z,"art rock,alternative rock","XL Recordings",0.351,0.676,9,-9.017,1,0.0313,0.000121,0.113,0.18,0.143,102.46,4
